Tweet_count,Username,Text,Created At,Retweets,Likes
1,𝗙𝗿𝗮𝗻𝗰𝗲 🇫🇷,Voilà le vainqueur de #Eurovision2024  ou l'écœurante décadence. https://t.co/YioS3HNRTP,Sun May 12 07:48:36 +0000 2024,658,2704
2,Jean Condamine 🇫🇷 🇪🇸 🇬🇧 🇫🇷 🇫🇷 🇫🇷,"Le FMI abaisse la prévision de croissance du PIB de la France à 0,7% en 2024. 
Un revers cinglant et sans précédent pour la Macronie et son Mozart de la finance qui prédisait la chute de l’économie russe.
En réponse, le FMI revoit à la hausse sa prévision de croissance pour https://t.co/SljDRxetZf",Wed Apr 24 06:52:42 +0000 2024,148,215
3,Pierre-Marie Sève,"Il est controversé mais attendu, le classement Numbéo des pays les plus dangereux d'Europe en 2024 est sorti :

1. 🇫🇷 France (55,3% d'indice de criminalité)
2. Biélorussie (50,8%)
3. Belgique (49,2)
4. Suède (48,4)
5. Royaume-Uni (47,4)
6. Italie (47,3)
7. Ukraine (46,9)
8. Grèce https://t.co/agAnl6l0Zp",Wed May 22 12:40:44 +0000 2024,5694,9442
4,FranceRMCF🇫🇷,🚨LE REAL MADRID AFFRONTE LE DORTMUND CE SAMEDI 01/2024 EN FINAL DE #ULC 😍✅ https://t.co/CrvFdI9D6i,Thu May 30 20:14:49 +0000 2024,2,87
5,Netflix France,"""2024 c’est mon année""                mars https://t.co/mML93GDERR",Thu Mar 14 10:14:06 +0000 2024,621,4814
6,BFMTG,"🔴 Officiel : La France, représenté par le chanteur Slimane, fini quatrième de l’Eurovision. #Eurovision2024 https://t.co/6I4s0nOE86",Sat May 11 22:49:08 +0000 2024,929,12909
7,Tibo InShape,Jeu olympique Paris 2024 💪🔥 la France au sport ! https://t.co/fFhN9PKF2j,Sat May 18 10:14:34 +0000 2024,1813,35506
8,Cerfia,🇪🇺🚨 FLASH | La France est 4ème du classement de l’#Eurovision2024. https://t.co/0UcKTKdnHs,Sat May 11 22:46:55 +0000 2024,702,16153
9,JOY BOY☀️🇵🇸🇨🇩,"🚨 RECHERCHE ALTERNANCE 🚨

Un frère (moi) recherche un contrat d'alternance dans les domaines suivants : 
Relation client, Communication , Négociation etc.

⏱️2 ans
🔄 2j école / 3j entreprise
📍Paris/Île de France
🗓️Septembre 2024
🎓BTS NDRC (1ère année)

RT appréciés🙏🏾 https://t.co/MFG0dwAwdi",Thu May 30 19:40:24 +0000 2024,8,5
10,Netflix France,"2024 sera animée.

SPY x FAMILY S1, c’est dispo.
My Hero Academia: Heroes Rising, c’est dispo.
My Hero Academia: Two Heroes, c’est dispo.

JUJUTSU KAISEN S1, le 1er mai.
JUJUTSU KAISEN 0, le 1er mai.
One Punch Man S1, le 15 mai.
Quintessential Quintuplets S1 &amp; S2, le 15 mai.

One https://t.co/s5MupVYKXE",Wed Apr 10 15:00:06 +0000 2024,344,2884
11,🇫🇷one,"Vous avez vu l'ambiance en France aujourd'hui ?
Les écoles sont menacées d'attentats, nos #JO2024 sous très haute surveillance, on parle de guerre, TOUS LES PRIX n'arrêtent pas d'augmenter, l'insécurité et l'invasion migratoire EXPLOSENT.
👉C'est ça le projet d'@EmmanuelMacron ! https://t.co/0Z23dWe2TD",Mon Mar 25 11:23:40 +0000 2024,387,563
12,Vogue France,"Le chanteur #Seungmin du groupe #StrayKids a affiché en avant première l'une des pièces maîtresses du défile #Loewe automne hiver 2024-2025 présenté par #JonathanAnderson.
#LoeweFW24 #ParisFashionWeek #SEUNGMINatLoeweFW24 #SEUNGMINxLOEWE 
--&gt; https://t.co/uS7OBH28Fs
© Getty https://t.co/EW3T5Yz2HV",Fri Mar 01 16:50:28 +0000 2024,4731,12698
13,Football Actu,"🔴 La FFF a ANNONCÉ ses STADES pour les MATCHS de l’Équipe de France en 2024-2025 : 🇨🇵🏟️

- Italie 🇮🇹 au Parc des Princes
- Belgique 🇧🇪 au Groupama Stadium
- Pays qui n’existe pas au Stade de France https://t.co/xCUybNTJ78",Fri Apr 26 14:33:29 +0000 2024,28,350
14,Pablo Miralles | Agence IA 📈,"Comment faire des dizaines de milliers d'euros en 2024 ? 💰

Découvre comment je gagne +60'000 par mois grâce à un business méconnu en France. 🇫🇷

Thread 🧵 https://t.co/dzedMRtgXB",Thu May 30 17:57:06 +0000 2024,2,18
15,MR RIGHT™🇰🇪,"Ngolo Kante in France squad for Euros 2024. 
CONGRATULATIONS FRANCE for winning Euros 2024 https://t.co/TZsY4Vx8AC",Thu May 16 19:16:07 +0000 2024,23,342
16,Football by Ouss,"🇫🇷| La France, FAVORI de l’EURO 2024 ? 🔝

Très attendu pour cet euro, les hommes de Deschamps devront faire bien mieux qu’il y a 3 ans…

Voici ma liste et analyse ! ✍️

⬇️ THREAD ⬇️ https://t.co/TjN8cwEkV2",Thu May 16 08:09:13 +0000 2024,17,350
17,MasterC,"Marseille, port of France.

#digitalart by MasterC (2024). https://t.co/ZMTD5JTAGD",Thu May 30 23:56:23 +0000 2024,1,2
18,Netflix France,"Zeon, contre la fédération terrestre.

Gundam: Requiem for Vengeance, une collaboration des studios SUNRISE et SAFEHOUSE Inc, produit sous Unreal Engine 5, en 2024. https://t.co/hzwfrbGhMQ",Sat Mar 23 02:53:00 +0000 2024,60,258
19,Art of,"ชุดโอลิมปิก 2024 ของ ฝรั่งเศสประเทศเจ้าภาพออกแล้ว! แจ็คเก็ทเท่มากอ่ะ อยากได้  (ดูทรงเหมือนจะให้แต่นักกีฬานะ อยากเห็นดีไซน์ที่จะทำขายด้วย)
เธรดนี้รวมชุด Olympic Games Paris 2024 ที่เพิ่งปล่อยวันนี้ https://t.co/6HLfv9HHB4",Thu Mar 14 10:06:08 +0000 2024,4480,1916
20,Netflix France,"Cette bande de Pogues revient en 2024.

Outer Banks saison 4, prochainement. https://t.co/h3PYsND9OF",Sun Apr 07 15:00:00 +0000 2024,851,9071
21,AlertesInfos,🚨🇫🇷 LA FRANCE FINIT 4ÈME DE L'ÉDITION 2024 DE L'EUROVISION. https://t.co/dygx6MqwW9,Sat May 11 22:48:00 +0000 2024,140,3033
22,𝐋𝐎𝐊𝐈 🇫🇷,"Mes attentes pour l’Euro 2024 

- Mbappé meilleur buteur de la compétition. Froidement.
- Barcola titulaire à gauche 
- Barcola premier but en EDF 
- Une titularisation de Warren Zaïre Emery en poule 
- Les outfits de Kounde 
- Une titularisation de Kante quand DD veut 
- Un https://t.co/h8C7bwzucS",Tue May 28 21:05:55 +0000 2024,29,337
23,Actu Foot,"🚨 OFFICIEL ! Le premier match de la France aux JO de Paris 2024 !

🇫🇷 FRANCE ⚡️ ÉTATS UNIS 🇺🇸

🏟️ Stade Vélodrome 

Mercredi 24 juillet à 21 heures. https://t.co/x605otug2g",Wed Mar 20 19:50:51 +0000 2024,323,5979
24,nywa,La France gagne Euro et le Brésil la Copa ça sera été ultime,Sun Mar 24 13:01:35 +0000 2024,23,258
25,Netflix France,"Petite info qui fait plaisir : notre série ACHARNÉS (BEEF) est la mini-série la plus récompensée de 2023-2024 ! Entre autres :

8 Emmy® Awards
4 Critics Choices Awards
3 Golden Globe® Awards

Merci à tous ! https://t.co/hBtC2LteK2",Thu May 16 16:00:00 +0000 2024,57,627
26,Actu Foot,"🚨 La liste probable des Bleus pour l’Euro 2024 ! 🇫🇷

𝗚𝗮𝗿𝗱𝗶𝗲𝗻𝘀 : Aréola, Maignan, Samba

𝗗𝗲́𝗳𝗲𝗻𝘀𝗲𝘂𝗿𝘀 : Koundé, Clauss, Pavard, Konaté, Saliba, T. Hernandez, Digne ou F. Mendy

𝗠𝗶𝗹𝗶𝗲𝘂𝘅 : Camavinga, Fofana, Rabiot, Zaïre-Emery, Tchouaméni, Griezmann, https://t.co/D3PgpXyRJ5",Wed May 15 17:50:43 +0000 2024,397,8583
27,Netflix France,"Les reines reviennent.

Outer Banks saison 4, en 2024. https://t.co/gWCDkH20vO",Wed Mar 13 09:30:00 +0000 2024,1010,9770
28,🕊️Myriam🕊️Sauvons L’humanité🕊️@CelebritesSM🕊,😔Emmanuel #Macron écoute le peuple Français en 2024 mourrir de faim en France pays le plus taxé au monde tu vas illico presto stopper les aides financières en Ukraine et ailleurs tu vas de toute façon dégager du trône de France https://t.co/cCI8mHxMaA,Sun Mar 24 05:32:20 +0000 2024,774,1653
29,le libertarien 🐍,"Criminalité
Je crois que bcp de gens ne se rendent pas compte de ce qui se produit en France... çà dit ""gnagna les médias d'Extreme droite""... juste les faits :

- 1er pays européen en criminalité (on est passé de 10e avec 43,66 en 2017 ""Macron power"", a 1er avec 55,26 en 2024) https://t.co/uTU6ul6BHQ",Thu May 30 17:00:57 +0000 2024,19,57
30,Stéphane POLI,"La situation en Nouvelle Calédonie est inadmissible, intolérable.

Dans un pays libre, sain, elle justifierait la démission immédiate de nombreux responsables et la mise en accusation de plusieurs services de l'Etat.

Un Etat qui, gangrené par la prévarication, les petits https://t.co/4l6LDEX4Km",Sat May 18 12:06:41 +0000 2024,242,425
31,Équipes de France Hockey,"🚨 Officiel : la France organisera le Mondial Élite 2⃣0⃣2⃣8⃣ à Paris et Lyon 🤩

#IIHFWorlds #TeamFranceHockey https://t.co/lSSgWpxS8l",Fri May 24 10:57:01 +0000 2024,141,485
32,Vogue France,La chanteuse de k-pop #Jennie a fait crépiter les flashs des photographes au défilé @Chanel automne hiver 2024-2025. #JENNIExChanelFW24 #ParisFashionWeek https://t.co/vwXOloNeZb,Tue Mar 05 12:09:38 +0000 2024,2403,4750
33,Elisa64,"Les Affiches Officielles des #JO2024 dessinées par @ugogattoni 
Aucun drapeau français, une tour Eiffel qui ressemble a un Derrick, et la cerise sur le gâteau pas de croix sur le dôme des Invalides …on veut vraiment effacer la France  😤😤😤😤
il y en a marre du wokisme https://t.co/DpAuy1OySC",Tue Mar 05 10:21:09 +0000 2024,222,683
