Tweet_count,Username,Text,Created At,Retweets,Likes
1,WORLD 2024 🌊,"Paris, France https://t.co/5j6PXTJ7m5",Fri Sep 13 10:47:03 +0000 2024,356,2375
2,Appart Design,"Côte d'Azur, France https://t.co/TtIZF0xjzw",Fri Sep 13 14:07:54 +0000 2024,900,6452
3,Jean-Luc Mélenchon,"Quand la Ve République a été créée, les femmes devaient demander l'autorisation à leur mari pour travailler. La contraception était interdite et le viol n'était pas reconnu comme un crime. 

Les générations de femmes qui ont gagné ces droits sont la nouvelle France. https://t.co/d5xqYPIXb3",Sat Sep 14 18:28:05 +0000 2024,484,1326
4,Marc Warnod,"Une racaille inconnue, proche de députés LFI,  un certain Elias d’Imzalène appelle a l' intifada a Paris !
Ce salafiste revendiqué proche des frères musulmans n'a rien a faire en France ! Voilà l'occasion rêvée de passer a interpellation condamnation dénaturalisation expulsion !! https://t.co/EBIZYGEcIn",Mon Sep 09 14:01:41 +0000 2024,2606,6146
5,POMPOM POMME,"Un charme vraiment unique ! 🔥😎

CR 依枕云屏 - Pixiv (Autorisé)               
#Feixiao #HonkaiStarrail #Feixiaohsr #飛霄 #비소 #ヒショウ #Starrail #HSR #崩壊スターレイル #スターレイル #Xianzhou #FeixiaoFlex https://t.co/2qvRPUjbfN",Sat Sep 14 09:02:00 +0000 2024,918,9311
6,Vogue France,Le membre du groupe sud-coréen a enflammé le premier rang du défilé Tommy Hilfiger printemps-été 2025. https://t.co/QHCOwFWBqe,Mon Sep 09 09:21:08 +0000 2024,1238,2897
7,AlexNoMatrixé,"Le Saumon d’Ecosse 🤢🤮🚨

#Nourriture #Poisson #Toxique #Cancer #France https://t.co/YvnW5Tj5DB",Sat Sep 14 10:29:07 +0000 2024,583,648
8,OThingstodo,"Paris, France 🇫🇷 https://t.co/pNVxM03SPM",Sat Sep 14 05:23:00 +0000 2024,108,738
9,Iva Masson,"«600 000 retraités en Algérie avec des pensions françaises, et sur 1000 personnes, 691 n’ont pas été retrouvés et 130 sont morts ! C'est quoi cette farce ? La « générosité » de la France va trop loin ! On se moque de nous !😡😡😡
#GouvernementDeTromperie https://t.co/1AO3hyfqar",Mon Sep 09 18:05:00 +0000 2024,8088,16741
10,VERITY France,"Vous pouvez être fier de votre travail, le pays qui taxe le plus au monde et en ruine 👏👏 https://t.co/x0YKDf6QS5",Fri Sep 13 13:05:27 +0000 2024,108,258
11,🇫🇷 LouiseFrance75 🇫🇷 🕎,"le nain sanguinaire sur la photo...éliminé par Tsahal
#7octobre2023 #hamaSS https://t.co/UQsr5zOxv1",Thu Sep 12 18:16:00 +0000 2024,791,5064
12,Pediavenir,🇫🇷🚨 FLASH – Jordan Bardella souhaite interdire El Morjdene. Il accuse la pâte à tartiner algérienne de promouvoir l’islamisme en France. https://t.co/Alj0tcfRNk,Wed Sep 11 18:06:59 +0000 2024,1235,15789
13,Le Lapin du Futur,"""les artistes qui s'opposent à l'extrême droite ne sont pas nombreux en France"" 🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡 https://t.co/sMi0W4oxtS",Wed Sep 11 13:56:08 +0000 2024,171,2442
14,Le gaulliste ♰,Ma France 🇨🇵 avant l'invasion de la planète des singes ✔️ https://t.co/9pBAUu2FWt,Wed Sep 11 08:19:47 +0000 2024,648,6163
15,Boumboum,"Il y a plus de sans-abri en France que dans des pays largement plus libéraux comme les USA, l'Irlande, le Danemark ou l'Allemagne. https://t.co/OMIhsGXluo",Sun Sep 08 19:37:16 +0000 2024,307,1209
16,Stratpol,Pourquoi n'avons-nous pas la même en France ? 😡,Mon Sep 09 22:49:23 +0000 2024,174,604
17,Je Réinforme,"Un enfant sur 5 né en France porte un prénom arabo-musulman contre moins d'1% avant 1960.

Mais rassurez-vous : les ""chercheurs"" vous garantissent que le grand remplacement de population est un mythe. https://t.co/GceONvRzZj",Sun Sep 08 18:33:58 +0000 2024,1230,3853
18,Camille Moscow 🇷🇺 🌿 ☦️,"Bienvenue à Ekaterinbourg, région du centre de la Russie où l’expulsion massive de migrants illégaux venus d'Asie centrale, d'Afrique et d'Inde est devenue une routine quotidienne. 

Imaginez un tel spectacle en France : on crierait au fascisme, les rues seraient en feu. Mais https://t.co/9YitOdQdjx",Sun Sep 08 13:30:46 +0000 2024,1549,4089
