Tweet_count,Username,Text,Created At,Retweets,Likes
1,{Matt} $XRPatriot,"YES, 2024 WILL NOT OCCUR

⚠️According to a former US Army Colonel, 𝐫𝐞𝐚𝐜𝐡𝐢𝐧𝐠 𝐭𝐡𝐞 𝐧𝐞𝐱𝐭 𝐔𝐒 𝐞𝐥𝐞𝐜𝐭𝐢𝐨𝐧 𝐢𝐧 𝟐𝟎𝟐𝟒 𝐢𝐬 𝐮𝐧𝐜𝐞𝐫𝐭𝐚𝐢𝐧 𝐝𝐮𝐞 𝐭𝐨 𝐩𝐨𝐭𝐞𝐧𝐭𝐢𝐚𝐥 𝐦𝐚𝐬𝐬 𝐛𝐥𝐚𝐜𝐤𝐨𝐮𝐭𝐬, 𝐞𝐜𝐨𝐧𝐨𝐦𝐢𝐜 𝐜𝐨𝐥𝐥𝐚𝐩𝐬𝐞, 𝐚𝐧𝐝 𝐟𝐨𝐨𝐝 https://t.co/AflDdcAhck",Sun Jan 07 15:34:35 +0000 2024,404,1061
2,S p r i n t e r,"NBC News:

According to new poll results, Donald Trump will be the next US president. https://t.co/eaRUJx1tMD",Thu Feb 08 06:47:59 +0000 2024,165,1180
3,Priyanka,"Predictions :- USA

From what can be seen from the chart of the USA it's going to face a very crucial period. Social chaos and uprising will be seen towards the end of 2024 especially due to the results of the Elections. 

From what I see Donald Trump has a fair chance to win https://t.co/J7Lt5iSBR8",Tue Jan 16 12:34:28 +0000 2024,17,229
4,Vision4theBlind,"So a movie called ""Civil War"" is coming out on April 24.

On the left is a map of the U.S. from the movie

Look how it compares to the States aligned (red) with Texas 

Interesting time to come out with this movie, wouldn't you say? https://t.co/NjyWrBepqp",Sat Jan 27 01:18:42 +0000 2024,111,509
5,Priyanka,"Predictions :- USA

From what can be seen from the chart of the USA it's going to face a very crucial period. Social chaos and uprising will be seen towards the end of 2024 specially due to the results of the Elections. The Americans will have no control of the situations in https://t.co/fxSFi9mzHa",Tue Jan 02 09:18:22 +0000 2024,28,281
6,🦇,4 whole years since they teased the US dates and put them in this specific order in the video so that the map would look like this https://t.co/tXbEaDYCqg,Sun Jan 28 13:28:38 +0000 2024,28,330
7,🇺🇲Take a Stand 🇺🇲🙏,"Half of all U.S. States side with Texas!

See map below: https://t.co/RF3UjTULZ3",Fri Jan 26 17:12:42 +0000 2024,128,256
8,Sir Dickson,"US elections 2024! Here we go again.

Is Trump poised to win the Republican nomination and possibly the presidency? Well, tonight is the start of that determination with the Iowa caucus in full swing.

To put it into perspective, Iowa is a pointer to how candidates will perform https://t.co/JLxAdXTyA6",Mon Jan 15 19:41:45 +0000 2024,115,695
9,Concerned Citizen,"US Election 2024 Preview

Noway Biden will run.  Newson has turned California into a shithole. Kamala is even less popular than Biden. 

Big Mike is the insane Democrats only slim chance, and I mean real slim - so slim they will have to cheat or prevent it from happening. https://t.co/5ZMlfe49AY",Sat Feb 10 21:01:35 +0000 2024,99,327
10,allison 🦭,President Niko has begun to serve his first four year term as president of the United States this 2024. He speaks here today about the promising changes in store for our country. https://t.co/RR6kSPZcOX,Sun Feb 18 21:48:57 +0000 2024,290,1222
11,Brenden Dilley,"-Currency collapse via orchestrated inflation

-Zero borders

-Weaponized courts

-Illegitimate government

-Rigged elections

-State run media

The United States of America ended on January 21st, 2021.

The United States of America will be reborn on November 5th, 2024. https://t.co/4hA0vE5c0X",Fri Jan 26 22:26:25 +0000 2024,589,1514
12,Meio Independente,"🚨🇺🇸 É HOJE: Começa a eleição presidencial dos EUA 2024. Eleitores de Iowa abrem o calendário eleitoral e serão os primeiros a votar nas primárias presidenciais.

Cenário aponta para uma vitória estrondosa de Trump no dia de hoje. https://t.co/uyKb0lAMpj",Mon Jan 15 13:07:00 +0000 2024,177,1171
13,@Chicago1Ray 🇺🇸,"JUST ANNOUNCED  .....🚨🚨🚨🚨

Trump is leading in all seven swing states in a head to head 👇 match up against Biden https://t.co/6lJfTFHJgI",Sun Feb 04 22:03:35 +0000 2024,142,454
14,Ryan Rozbiani,THE NEW UNITED STATES MAP ACCORDING TO SENATE https://t.co/BnAV3Dg12r,Tue Feb 13 23:32:42 +0000 2024,72,208
15,ƤƖҲƖЄ,"Article 4 Section 4

The United States shall guarantee to every State in this Union a Republican Form of Government, and shall protect each of them against Invasion; and on Application of the Legislature, or of the Executive (when the Legislature cannot be convened) against https://t.co/5jJSTa6M5X",Fri Jan 26 14:44:24 +0000 2024,255,270
16,1 & only👉SilverAdie Art 🌈 Parody—other 1 is fake,"🗽
Joe Biden in November wins by a landslide. 

The Republican Party loses in margins wide

Expect “Dementia Don” to claim  he won

More election lies from a -cheating  bum.

#Biden2024 https://t.co/8l6ZzcHWNa",Wed Jan 24 11:49:24 +0000 2024,57,226
17,NCT 127 Central,"240222 [PRESS] Candidates for ‘2024 USA’ Daesang in 4 categories revealed

“Top artists representing Kpop are competing for the '2024 USA' daesang.”

✨Universal Superstar - #NCT127
✨Universal Super Music Album - NCT127 Fact Check
✨Universal Super Soundtrack - NCT127 Fact Check https://t.co/eawHSH0c0O",Fri Feb 23 01:40:46 +0000 2024,592,739
18,BITCOINLFG®,"BREAKING 🚨

Pro #Bitcoin Donald Trump likely to be next president in U.S in 2024 . Multiple surveys https://t.co/c5c93OExNs",Sun Feb 11 18:36:04 +0000 2024,112,1256
